,basic_date,stockname,stock_code,open_value,high_value,low_value,close_value,volume_value,cv_diff_value,cv_diff_rate,cv_maN_value,cv_maN_rate,ud_Nd,cvNd_diff_rate
78,20170828,고려아연,10130,498500,504000,496000,503000,38300,8500,1.72,499166.6666666667,0.81,0,3.54
79,20170825,고려아연,10130,502000,502000,492500,494500,28535,-5500,-1.1,495166.6666666667,-0.44,0,0.6
80,20170824,고려아연,10130,495500,504000,492500,500000,42409,9000,1.83,497333.3333333333,-0.07,0,0.71
81,20170823,고려아연,10130,505000,505000,487500,491000,43363,-10000,-2.0,497666.6666666667,-0.67,0,-0.2
82,20170822,고려아연,10130,503000,509000,500000,501000,36795,0,0.0,501000.0,0.07,0,-2.0
83,20170821,고려아연,10130,505000,505000,498000,501000,40447,0,0.0,500666.6666666667,1.59,0,0
84,20170818,고려아연,10130,500000,503000,496000,501000,35413,1000,0.2,492833.3333333333,1.3,0,0.2
85,20170817,고려아연,10130,492000,504000,491500,500000,80097,22500,4.71,486500.0,1.42,0,4.92
86,20170816,고려아연,10130,485000,486000,474500,477500,35646,-4500,-0.93,479666.6666666667,-0.76,0,3.73
87,20170814,고려아연,10130,480500,485500,478500,482000,23840,2500,0.52,483333.3333333333,-1.13,0,-0.42
88,20170811,고려아연,10130,487500,490500,477500,479500,50037,-9000,-1.84,488833.3333333333,-1.11,0,-1.33
89,20170810,고려아연,10130,498500,501000,488000,488500,51607,-10000,-2.01,494333.3333333333,-0.44,0,-3.81
90,20170809,고려아연,10130,500000,503000,496500,498500,71677,2500,0.5,496500.0,0.47,1,-1.51
91,20170808,고려아연,10130,499000,503000,493500,496000,61591,1000,0.2,494166.6666666667,0.61,1,0.71
92,20170807,고려아연,10130,494000,496000,489000,495000,45056,3500,0.71,491166.6666666667,0.58,1,0.92
93,20170804,고려아연,10130,490000,497000,484500,491500,52005,4500,0.92,488333.3333333333,-0.14,0,1.64
94,20170803,고려아연,10130,482000,488000,480500,487000,34947,500,0.1,489000.0,-0.44,0,1.03
